Date,AverageTemperature,City,Country,Latitude,Longitude
01-01-2024,15.5,New York,USA,40.7128,-74.006
01-01-2024,28.1,Los Angeles,USA,34.0522,-118.2437
01-01-2024,23.4,Chicago,USA,41.8781,-87.6298
01-01-2024,12.3,Houston,USA,29.7604,-95.3698
01-01-2024,8.9,Toronto,Canada,43.6511,-79.347
01-01-2024,25.1,Mexico City,Mexico,19.4326,-99.1332
01-01-2024,19.4,Vancouver,Canada,49.2827,-123.1216
01-01-2024,27.3,Miami,USA,25.7617,-80.1918
01-01-2024,21.8,Seattle,USA,47.6062,-122.3321
01-01-2024,16.7,Denver,USA,39.7392,-104.9903
01-01-2024,7.4,London,UK,51.5074,-0.1278
01-01-2024,13.6,Paris,France,48.8566,2.3522
01-01-2024,9.8,Berlin,Germany,52.52,13.405
01-01-2024,5.1,Madrid,Spain,40.4168,-3.7038
01-01-2024,11.3,Rome,Italy,41.9028,12.4964
01-01-2024,18.6,Oslo,Norway,59.9139,10.7522
01-01-2024,16.5,Warsaw,Poland,52.2297,21.0122
01-01-2024,10.4,Vienna,Austria,48.2082,16.3738
01-01-2024,12.7,Dublin,Ireland,53.3498,-6.2603
01-01-2024,14.3,Lisbon,Portugal,38.7169,-9.1393
01-01-2024,30.5,Cairo,Egypt,30.0444,31.2357
01-01-2024,32.8,Lagos,Nigeria,6.5244,3.3792
01-01-2024,29.4,Nairobi,Kenya,-1.2921,36.8219
01-01-2024,31.7,Johannesburg,South Africa,-26.2041,28.0473
01-01-2024,28.3,Casablanca,Morocco,33.5734,-7.5898
01-01-2024,33.4,Tunis,Tunisia,36.8065,10.1815
01-01-2024,27.8,Algiers,Algeria,36.7372,3.049
01-01-2024,26.9,Accra,Ghana,5.6037,-0.187
01-01-2024,29.1,Cape Town,South Africa,-33.9249,18.4241
01-01-2024,31,Kigali,Rwanda,-1.9441,30.0444
01-01-2024,22.4,Tokyo,Japan,35.6895,139.6917
01-01-2024,25.1,Beijing,China,39.9042,116.4074
01-01-2024,26.3,Delhi,India,28.6139,77.209
01-01-2024,24.6,Seoul,South Korea,37.5665,126.978
01-01-2024,28.9,Bangkok,Thailand,13.7563,100.5018
01-01-2024,23.2,Jakarta,Indonesia,-6.2088,106.8456
01-01-2024,21.4,Manila,Philippines,14.5995,120.9842
01-01-2024,22.9,Kuala Lumpur,Malaysia,3.139,101.6869
01-01-2024,24.7,Singapore,Singapore,1.3521,103.8198
01-01-2024,25.8,Hanoi,Vietnam,21.0285,105.8545
01-01-2024,18.3,São Paulo,Brazil,-23.5505,-46.6333
01-01-2024,20.5,Buenos Aires,Argentina,-34.6037,-58.3816
01-01-2024,16.9,Rio de Janeiro,Brazil,-22.9068,-43.1729
01-01-2024,19.4,Lima,Peru,-12.0464,-77.0428
01-01-2024,21.8,Bogotá,Colombia,4.711,-74.0721
01-01-2024,23.1,Santiago,Chile,-33.4489,-70.6483
01-01-2024,22.6,Caracas,Venezuela,10.4806,-66.9036
01-01-2024,19.7,Quito,Ecuador,-0.1807,-78.4678
01-01-2024,18.8,Montevideo,Uruguay,-34.9011,-56.1645
01-01-2024,17.5,Asunción,Paraguay,-25.2637,-57.5759
01-01-2024,2.3,McMurdo,Antarctica,-77.8419,166.6667
01-01-2024,-3.4,Vostok,Antarctica,-78.4645,106.8
01-01-2024,-6.8,Palmer,Antarctica,-64.7739,-64.0499
01-01-2024,-1.5,Davis,Antarctica,-68.5766,77.9674
01-01-2024,0.6,Casey,Antarctica,-66.2818,110.5333
01-01-2024,-4.8,Mawson,Antarctica,-67.6021,62.875
01-01-2024,-7.2,Scott Base,Antarctica,-77.8469,166.75
01-01-2024,1.3,Rothera,Antarctica,-67.5678,-68.1333
01-01-2024,-5.4,Amundsen-Scott,Antarctica,-90,0
01-01-2024,-2.6,Halley,Antarctica,-75.2509,-26.8836
